name,moneycontrol_id
ICICI Pru Bluechip Fund - IO,icici-pru-bluechip-fund-io/MPI394
DHFL Pramerica Large Cap-Sr 3-DP (G),dhfl-pramerica-large-cap-sr-3-dp/MDE1510
HDFC Top 100 Fund - D (G),hdfc-top-100-fund-d/MHD1169
L&T India Large Cap - Direct (G),l-t-india-large-cap-direct/MCC293
Indiabulls Blue Chip Fund (G),indiabulls-blue-chip-fund/MIM010
LIC MF Large Cap Fund (G),lic-mf-large-cap-fund/MJB009
Kotak Bluechip Fund - D (G),kotak-bluechip-fund-d/MKM514
Reliance Large Cap Fund - RP (G),reliance-large-cap-fund-rp/MRC155
HDFC Top 100 Fund (G),hdfc-top-100-fund/MZU009
L&T India Large Cap Fund (G),l-t-india-large-cap-fund/MFF027
DSP Top 100 Equity Fund - Direct (G),dsp-top-100-equity-fund-direct/MDS568
ICICI Pru Bluechip Fund (G),icici-pru-bluechip-fund/MPI392
ABSL Frontline Eqty-Direct (G),absl-frontline-eqty-direct/MBS813
DHFL Pramerica Large Cap Fund-DP (G),dhfl-pramerica-large-cap-fund-dp/MDE487
Quant Active Fund - Direct (G),quant-active-fund-direct/MES061
HSBC Large Cap Equity Fund - Direct (G),hsbc-large-cap-equity-fund-direct/MHS353
DHFL Pramerica Large Cap-Sr 3-RP (G),dhfl-pramerica-large-cap-sr-3-rp/MDE1508
DSP Top 100 Equity Fund - Regular (G),dsp-top-100-equity-fund-regular/MDS018
Kotak Bluechip Fund (G),kotak-bluechip-fund/MKM003
Baroda Pioneer Large Cap - Direct (G),baroda-pioneer-large-cap-direct/MBO092
Quant Active Fund (G),quant-active-fund/MES005
BNP Paribas Large Cap Fund - D (G),bnp-paribas-large-cap-fund-d/MAB720
Tata Large Cap Fund - Direct (G),tata-large-cap-fund-direct/MTA788
ABSL Frontline Equity (G),absl-frontline-equity/MAC031
HSBC Large Cap Equity Fund (G),hsbc-large-cap-equity-fund/MHS001
IDFC Large Cap Fund - D (G),idfc-large-cap-fund-d/MAG725
Baroda Pioneer Large Cap (G),baroda-pioneer-large-cap/MBO046
Sahara Super 20 Fund -Direct (G),sahara-super-20-fund-direct/MFI067
DHFL Pramerica Large Cap Fund-WP (G),dhfl-pramerica-large-cap-fund-wp/MDE260
DHFL Pramerica Large Cap Fund-RP (G),dhfl-pramerica-large-cap-fund-rp/MDE001
Franklin (I) Bluechip - Direct (G),franklin-i-bluechip-direct/MTE329
SBI Blue Chip Fund - Direct (G),sbi-blue-chip-fund-direct/MSB532
IDFC Large Cap Fund (G),idfc-large-cap-fund/MAG106
Taurus Largecap Equity Fund - D (G),taurus-largecap-equity-fund-d/MCM130
BNP Paribas Large Cap Fund (G),bnp-paribas-large-cap-fund/MAB001
Tata Large Cap Fund  - Regular Plan (G),tata-large-cap-fund-regular-plan/MTA006
Franklin India Bluechip (G),franklin-india-bluechip/MKP001
IDBI India Top 100 Eqty -Direct (G),idbi-india-top-100-eqty-direct/MIB092
Taurus Largecap Equity Fund (G),taurus-largecap-equity-fund/MCM015
SBI Blue Chip Fund (G),sbi-blue-chip-fund/MSB079
JM Core 11 Fund -Direct (G),jm-core-11-fund-direct/MJM324
Essel Large Cap Equity - D (G),essel-large-cap-equity-d/MPM040
Sahara Super 20 Fund (G),sahara-super-20-fund/MFI059
JM Core 11 Fund (G),jm-core-11-fund/MJM171
Quant Focused Fund -Direct (G),quant-focused-fund-direct/MES049
IDBI India Top 100 Equity Fund (G),idbi-india-top-100-equity-fund/MIB062
Essel Large Cap Equity (G),essel-large-cap-equity/MPM034
Quant Focused Fund (G),quant-focused-fund/MES031
ICICI Pru Nifty Next 50 Index - D (G),icici-pru-nifty-next-50-index-d/MPI1185
ICICI Pru Nifty Next 50 Index (G),icici-pru-nifty-next-50-index/MPI751
Quant Large & Mid Cap -Direct (G),quant-large-mid-cap-direct/MES058
Quant Large & Mid Cap (G),quant-large-mid-cap/MES022
Sundaram Large and Mid Cap Fund - D (G),sundaram-large-and-mid-cap-fund-d/MSN553
Invesco Growth Opportunities - D (G),invesco-growth-opportunities-d/MLI560
Sundaram Large and Mid Cap Fund (G),sundaram-large-and-mid-cap-fund/MSN101
Invesco Growth Opportunities Fund (G),invesco-growth-opportunities-fund/MLI099
Edelweiss Large & Mid Cap - D (G),edelweiss-large-mid-cap-d/MJP103
Tata Large & Mid Cap Fund - D (G),tata-large-mid-cap-fund-d/MTA730
Edelweiss Large & Mid Cap (G),edelweiss-large-mid-cap/MJP001
SBI Large & Midcap Fund - D (G),sbi-large-midcap-fund-d/MSB501
LIC MF Large & Mid Cap Fund - D (G),lic-mf-large-mid-cap-fund-d/MJB395
Tata Large & Mid Cap Fund (G),tata-large-mid-cap-fund/MTA043
Kotak Equity Opportunities - D (G),kotak-equity-opportunities-d/MKM522
IDFC Core Equity Fund - D (G),idfc-core-equity-fund-d/MAG723
SBI Large & Midcap Fund (G),sbi-large-midcap-fund/MSB003
Mirae Emerging Bluechip -Direct (G),mirae-emerging-bluechip-direct/MMA100
Kotak Equity Opportunities (G),kotak-equity-opportunities/MKM067
Franklin India Equity Advantage - D (G),franklin-india-equity-advantage-d/MTE327
Mirae Emerging Bluechip Fund (G),mirae-emerging-bluechip-fund/MMA088
HDFC Growth Opportunities Fund - D (G),hdfc-growth-opportunities-fund-d/MMS029
LIC MF Large & Mid Cap Fund (G),lic-mf-large-mid-cap-fund/MJB393
HDFC Growth Opportunities Fund (G),hdfc-growth-opportunities-fund/MMS001
IDFC Core Equity Fund (G),idfc-core-equity-fund/MAG091
Franklin India Equity Advantage (G),franklin-india-equity-advantage/MTE078
ICICI Pru Large & Mid Cap Fund - D (G),icici-pru-large-mid-cap-fund-d/MPI1130
UTI Core Equity Fund - D (G),uti-core-equity-fund-d/MUT633
Can Robeco Emer-Equities-Direct (G),can-robeco-emer-equities-direct/MCA205
ICICI Pru Large & Mid Cap Fund (G),icici-pru-large-mid-cap-fund/MPI003
UTI Core Equity Fund (G),uti-core-equity-fund/MUT010
Can Robeco Emerg-Equities (G),can-robeco-emerg-equities/MCA033
